danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,number_of_artists,explicit,name,url,genres,filtered_genres,top_genre,emotion
0.707,0.656,-9.279,0.173,0.743,0.0,0.172,0.748,118.037,210320.0,73.0,5.0,False,Where You Are,https://open.spotify.com/track/2bwSCIuNtVrQPVddCi8sOW,"['dance pop', 'waiata mo tamariki', 'pop', 'movie tunes', 'broadway', 'show tunes']",['pop'],pop,happy
0.705,0.784,-4.351,0.0279,0.211,4.3e-06,0.0813,0.418,104.98,228573.0,60.0,1.0,False,Moonshine,https://open.spotify.com/track/30raivfq7rSt5nKltiHfzG,"['pop', 'dance pop']",['pop'],pop,happy
0.728,0.941,-2.044,0.188,0.0955,0.0,0.328,0.923,92.073,192921.0,0.0,1.0,False,Chained Up,https://open.spotify.com/track/0fp7yXkUbwmM8ML6sWu6HW,"['k-pop boy group', 'k-pop']",['k-pop'],,happy
0.552,0.643,-14.523,0.14,0.144,0.0027,0.0878,0.763,136.764,506720.0,61.0,1.0,False,"One Bourbon, One Scotch, One Beer",https://open.spotify.com/track/0s995gCthqnYJCWGvfKpNt,"['album rock', 'classic rock', 'mellow gold', 'hard rock', 'country rock', 'heartland rock', 'blues rock', 'rock']",['rock'],rock,happy
0.429,0.093,-15.944,0.0433,0.882,0.00703,0.111,0.208,129.661,293973.0,59.0,1.0,False,Cover Me Up,https://open.spotify.com/track/5qW6ZYct54PhKliCntyxRX,"['folk', 'alternative country', 'roots rock', 'new americana']",['folk'],folk,sad
0.551,0.598,-6.79,0.27,0.15,0.0,0.299,0.612,78.756,230613.0,61.0,2.0,True,Money Maker,https://open.spotify.com/track/2JpUkUR0OsOlUUfm6iS8ic,"['dance pop', 'atl hip hop', 'southern hip hop', 'trap', 'pop', 'dirty south rap', 'pop rap', 'rap', 'old school atlanta hip hop', 'hip hop']",['pop'],pop,happy
0.885,0.543,-6.338,0.2,0.0311,0.0,0.154,0.43,99.026,195991.0,59.0,2.0,True,Dip (feat. Nicki Minaj),https://open.spotify.com/track/4hXDobvUaXyDFLnmecoY0z,"['queens hip hop', 'pop', 'trap', 'hip pop', 'pop rap', 'rap', 'hip hop']",['pop'],pop,happy
0.706,0.679,-5.614,0.0324,0.139,6.98e-05,0.465,0.657,140.081,158706.0,65.0,2.0,True,Rodeo,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n,"['lgbtq+ hip hop', 'pop', 'rap']",['pop'],pop,happy
0.888,0.525,-5.665,0.305,0.029,5.68e-06,0.137,0.243,133.983,143791.0,64.0,1.0,True,Press,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv,"['pop', 'rap']",['pop'],pop,happy
0.878,0.933,-3.093,0.277,0.126,0.0,0.531,0.601,154.006,172987.0,56.0,4.0,True,Rake It Up - Diplo & Party Favor Remix,https://open.spotify.com/track/3wAbP40X5P9EVWkwmszInb,"['memphis hip hop', 'queens hip hop', 'southern hip hop', 'trap', 'pop', 'electro house', 'tennessee hip hop', 'moombahton', 'dirty south rap', 'gangster rap', 'pop dance', 'brostep', 'rap', 'electronic trap', 'edm', 'hip pop']","['pop', 'edm']",pop,energetic
0.799,0.699,-7.694,0.204,0.00867,0.0,0.132,0.627,142.979,214850.0,60.0,1.0,True,Big Ole Freak,https://open.spotify.com/track/3YEbLhXRDPTtctnb3ddg8g,"['trap queen', 'pop', 'r&b', 'rap', 'houston rap']",['pop'],pop,happy
0.273,0.988,-2.934,0.471,6.96e-05,0.0115,0.0891,0.156,110.051,299106.0,56.0,1.0,False,Dystopia,https://open.spotify.com/track/0KiRc3f3OI9C7s0S1QjQNO,"['nu metal', 'metal', 'hard rock', 'melodic thrash', 'old school thrash', 'thrash metal', 'alternative metal', 'rock', 'speed metal']","['metal', 'rock']",rock,energetic
0.207,0.863,-5.379,0.102,0.00498,1.95e-06,0.382,0.47,75.48,243733.0,40.0,1.0,False,Use The Man - Remastered 2004 / Remixed,https://open.spotify.com/track/5VANqRRzSEkEuAi4oO9yag,"['nu metal', 'metal', 'hard rock', 'melodic thrash', 'old school thrash', 'thrash metal', 'alternative metal', 'rock', 'speed metal']","['metal', 'rock']",rock,energetic
0.122,0.95,-3.803,0.0946,2.62e-06,0.144,0.108,0.257,165.863,266866.0,43.0,1.0,True,Doomed User,https://open.spotify.com/track/6eMGp0jmEbFxy42ZnyzsLJ,"['nu metal', 'alternative metal', 'rap metal', 'sacramento indie', 'rock']",['rock'],rock,energetic
0.381,0.905,-5.05,0.0676,0.000107,0.43,0.211,0.396,142.545,217920.0,49.0,1.0,False,Prayers / Triangles,https://open.spotify.com/track/0B1Iqqq8wVoXM5R5glHQES,"['nu metal', 'alternative metal', 'rap metal', 'sacramento indie', 'rock']",['rock'],rock,energetic
0.703,0.918,-3.476,0.0743,0.00856,0.176,0.117,0.455,98.388,285306.0,39.0,1.0,False,My Name Is Mud,https://open.spotify.com/track/7axVaL2WO7cC3fXxtd9Zlj,"['nu metal', 'grunge', 'alternative metal', 'funk rock', 'funk metal', 'alternative rock']",['grunge'],grunge,energetic
0.476,0.954,-5.648,0.0514,0.05,0.153,0.224,0.416,106.29,242493.0,27.0,1.0,False,TV Crimes - 2008 Remaster,https://open.spotify.com/track/1ECcwLhP63lbKSNKuswrNL,"['album rock', 'classic rock', 'metal', 'hard rock', 'stoner rock', 'alternative metal', 'birmingham metal', 'rock', 'uk doom metal']","['metal', 'rock']",rock,energetic
0.348,0.937,-5.414,0.0689,0.0493,0.383,0.667,0.326,112.505,308720.0,6.0,1.0,False,N.I.B. (Live) - 2008 Remaster,https://open.spotify.com/track/6qgyI5w3BRRpnWMwmYO8W7,"['album rock', 'classic rock', 'metal', 'hard rock', 'stoner rock', 'alternative metal', 'birmingham metal', 'rock', 'uk doom metal']","['metal', 'rock']",rock,energetic
0.73,0.907,-4.478,0.0727,0.000111,0.00816,0.266,0.573,116.016,163066.0,57.0,1.0,True,"Well, Everybody's Fucking In A U.F.O.",https://open.spotify.com/track/3KAS4vmuvRGP2BUQcxmu5i,"['nu metal', 'hard rock', 'industrial metal', 'post-grunge', 'alternative metal', 'rock', 'industrial rock']",['rock'],rock,energetic
0.559,0.876,-6.479,0.0495,0.0474,0.0,0.0734,0.4,95.07,210186.0,48.0,1.0,False,Thank God for Girls,https://open.spotify.com/track/5uywMR3hTeVPoWaFDSliJb,"['modern rock', 'permanent wave', 'rock', 'modern power pop', 'alternative rock']",['rock'],rock,energetic
0.433,0.879,-5.395,0.067,0.0168,0.0,0.0688,0.536,79.982,204480.0,41.0,1.0,False,King of the World,https://open.spotify.com/track/5vBuxtwitUimHR2gBOnJYR,"['modern rock', 'permanent wave', 'rock', 'modern power pop', 'alternative rock']",['rock'],rock,energetic
